"原始分","CVP_标准分","CVP_百分比","EL_标准分","EL_百分比","RL_标准分","RL_百分比","FM_标准分","FM_百分比","GM_标准分","GM_百分比","VMI_标准分","VMI_百分比","AE_标准分","AE_百分比","SR_标准分","SR_百分比","CMB_标准分","CMB_百分比","CVB_标准分","CVB_百分比","PB_标准分","PB_百分比","PSC_标准分","PSC_百分比","AB_标准分","AB_百分比"
"49","17",">99","20",">99","","","","","","","","","","","","","","","","","","","","","",""
"50","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"51","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"52","18",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"53","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"54","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"55","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"56","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"57","19",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"58","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"59","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"60","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"61","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"62","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"63","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"64","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"65","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"66","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"67","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"68","20",">99","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
